#stripid,cmsswid,FED,CCU,VFE,logicid
83208,872418991,606,12,5,1216061205
83216,872419248,606,11,2,1216061102
83336,872419635,606,3,4,1216060304
83464,872419632,606,11,4,1216061104
83592,872419891,605,32,1,1216053201
83600,872420019,605,32,3,1216053203
83720,872419888,606,10,1,1216061001
83728,872420016,606,10,3,1216061003
90184,872417322,606,21,2,1216062102
90192,872417578,606,21,4,1216062104
90248,872417321,606,21,3,1216062103
90256,872417319,606,27,2,1216062702
90264,872417575,606,27,4,1216062704
90312,872417572,606,27,3,1216062703
90320,872417700,606,27,5,1216062705
90376,872417699,606,31,5,1216063105
90384,872417953,607,7,1,1216070701
90440,872417709,606,21,5,1216062105
90448,872417963,606,20,1,1216062001
90504,872417961,606,20,2,1216062002
90568,872417957,606,26,1,1216062601
90576,872418086,606,26,3,1216062603
90632,872417956,606,26,2,1216062602
90640,872418340,606,26,4,1216062604
90696,872418220,606,20,4,1216062004
90760,872418217,606,20,3,1216062003
90768,872418345,606,20,5,1216062005
90824,872418343,606,26,5,1216062605
90832,872418599,606,25,1,1216062501
90888,872418597,606,25,2,1216062502
90952,872418606,606,12,3,1216061203
90960,872418605,606,19,4,1216061904
91016,872418602,606,19,1,1216061901
91024,872418859,606,19,3,1216061903
91080,872418601,606,19,2,1216061902
91088,872418985,606,19,5,1216061905
91144,872418855,606,25,4,1216062504
91208,872419246,606,11,3,1216061103
91272,872419244,606,18,1,1216061801
91336,872419242,606,18,2,1216061802
91400,872419241,606,18,3,1216061803
91528,872419630,606,11,5,1216061105
91656,872419500,606,18,4,1216061804
91664,872419753,606,18,5,1216061805
91672,872419883,607,1,1,1216070101
91784,872419886,606,10,2,1216061002
91792,872420142,606,10,4,1216061004
91912,872420013,607,1,4,1216070104
98376,872417951,607,7,2,1216070702
98384,872418207,607,7,3,1216070703
98440,872417950,607,11,2,1216071102
98448,872418204,607,11,4,1216071104
98504,872418331,607,11,5,1216071105
98512,872418586,607,10,1,1216071001
98568,872418585,607,17,2,1216071702
98576,872418714,607,10,3,1216071003
98632,872418211,607,7,4,1216070704
98696,872418335,607,7,5,1216070705
98704,872418591,607,6,1,1216070601
98760,872418589,607,10,2,1216071002
98768,872418845,607,10,4,1216071004
98824,872418844,607,10,5,1216071005
98888,872418596,606,25,3,1216062503
98896,872418594,607,6,2,1216070602
98952,872418848,607,6,3,1216070603
98960,872418977,607,6,5,1216070605
99016,872418847,607,6,4,1216070604
99024,872419231,607,5,1,1216070501
99080,872419228,607,9,1,1216070901
99088,872419359,607,5,3,1216070503
99144,872418981,606,25,5,1216062505
99152,872419237,607,3,1,1216070301
99208,872419236,607,3,2,1216070302
99272,872419235,607,5,2,1216070502
99280,872419489,607,5,4,1216070504
99336,872419616,607,5,5,1216070505
99400,872419240,607,3,3,1216070303
99464,872419494,607,3,4,1216070304
99528,872419620,607,3,5,1216070305
99536,872419877,607,2,1,1216070201
99592,872419876,607,2,2,1216070202
99600,872419874,607,4,2,1216070402
99720,872419881,607,1,2,1216070102
99848,872419880,607,2,3,1216070203
99856,872420262,607,2,4,1216070204
99976,872420137,607,1,3,1216070103
99984,872420265,607,1,5,1216070105
99992,872420523,607,21,1,1216072101
100104,872420521,607,14,1,1216071401
106568,872418839,607,17,4,1216071704
106576,872419093,607,17,5,1216071705
106632,872419221,607,16,1,1216071601
106640,872419349,607,16,3,1216071603
106696,872419348,607,23,4,1216072304
106704,872419477,607,16,4,1216071604
106760,872419858,607,22,1,1216072201
106768,872419986,607,22,3,1216072203
106824,872419224,607,16,2,1216071602
106832,872419226,607,9,2,1216070902
106888,872419608,607,16,5,1216071605
106952,872419861,607,15,1,1216071501
106960,872419990,607,15,2,1216071502
107016,872419989,607,15,3,1216071503
107024,872420245,607,15,5,1216071505
107080,872419356,607,9,3,1216070903
107088,872419612,607,9,5,1216070905
107144,872419483,607,9,4,1216070904
107152,872419866,607,8,1,1216070801
107208,872419994,607,8,3,1216070803
107272,872420121,607,15,4,1216071504
107280,872420250,607,8,5,1216070805
107336,872419871,607,4,1,1216070401
107400,872419870,607,8,2,1216070802
107408,872419999,607,4,3,1216070403
107464,872420252,607,8,4,1216070804
107528,872420506,608,4,1,1216080401
107536,872420635,608,4,2,1216080402
107592,872420129,607,4,4,1216070404
107656,872420257,607,4,5,1216070405
107720,872420511,607,33,1,1216073301
107784,872420639,607,33,3,1216073303
107912,872420260,607,2,5,1216070205
107920,872420516,607,32,2,1216073202
108040,872420514,607,33,2,1216073302
108048,872420772,607,32,4,1216073204
108056,872420897,607,33,4,1216073304
108168,872420518,607,32,1,1216073201
108176,872420774,607,32,3,1216073203
108296,872420904,607,32,5,1216073205
114760,872420113,607,22,4,1216072204
114768,872420368,607,22,5,1216072205
114776,872420496,608,10,1,1216081001
114824,872420624,608,10,2,1216081002
114832,872420752,608,10,3,1216081003
114888,872420880,608,10,5,1216081005
114896,872421136,608,14,1,1216081401
114952,872421263,608,15,5,1216081505
114960,872421392,608,14,4,1216081404
115016,872420501,608,5,2,1216080502
115080,872420628,608,10,4,1216081004
115088,872420757,608,5,4,1216080504
115144,872421141,608,9,2,1216080902
115152,872421139,608,14,2,1216081402
115208,872421397,608,9,4,1216080904
115216,872421393,608,14,3,1216081403
115224,872421522,608,14,5,1216081405
115272,872420503,608,5,1,1216080501
115280,872420631,608,5,3,1216080503
115336,872420887,608,5,5,1216080505
115400,872421143,608,9,1,1216080901
115408,872421271,608,9,3,1216080903
115464,872421527,608,9,5,1216080905
115528,872420634,608,4,3,1216080403
115536,872420890,608,4,4,1216080404
115592,872421018,608,4,5,1216080405
115600,872421146,608,8,1,1216080801
115656,872421274,608,8,3,1216080803
115720,872421530,608,8,5,1216080805
115784,872420895,607,33,5,1216073305
115848,872421151,608,7,1,1216080701
115912,872421150,608,8,2,1216080802
115920,872421281,608,7,3,1216080703
115976,872421535,608,7,5,1216080705
115984,872421532,608,8,4,1216080804
116104,872421154,608,7,2,1216080702
116232,872421410,608,7,4,1216080704
116360,872421156,608,6,1,1216080601
116368,872421284,608,6,2,1216080602
116488,872421412,608,6,3,1216080603
116496,872421540,608,6,4,1216080604
122952,872421776,608,38,4,1216083804
122960,872421774,608,39,5,1216083905
123016,872422160,608,38,1,1216083801
123024,872422416,608,34,5,1216083405
123080,872422546,608,34,3,1216083403
123088,872422672,608,34,2,1216083402
123144,872422928,608,34,1,1216083401
123152,872423056,609,22,5,1216092205
123160,872423184,609,22,4,1216092204
123208,872421781,608,33,4,1216083304
123216,872421778,608,38,5,1216083805
123224,872421906,608,38,3,1216083803
123272,872422038,608,33,2,1216083302
123280,872422162,608,38,2,1216083802
123336,872422421,608,29,4,1216082904
123344,872422419,608,34,4,1216083404
123400,872422678,608,29,2,1216082902
123464,872421783,608,33,5,1216083305
123528,872421913,608,33,3,1216083303
123536,872422167,608,33,1,1216083301
123592,872422423,608,29,5,1216082905
123656,872422553,608,29,3,1216082903
123664,872422807,608,29,1,1216082901
123720,872421786,608,32,5,1216083205
123784,872422042,608,32,3,1216083203
123848,872422172,608,32,1,1216083201
123856,872422426,608,28,5,1216082805
123912,872422554,608,28,4,1216082804
123920,872422682,608,28,3,1216082803
123976,872421791,608,31,5,1216083105
123984,872421789,608,32,4,1216083204
124040,872421920,608,31,3,1216083103
124048,872422045,608,32,2,1216083202
124104,872422175,608,31,1,1216083101
124168,872422431,609,33,5,1216093305
124296,872421794,608,31,4,1216083104
124424,872422051,608,31,2,1216083102
124552,872421796,608,30,4,1216083004
124560,872421924,608,30,3,1216083003
124680,872422054,608,30,2,1216083002
124688,872422180,608,30,1,1216083001
131144,872423188,609,22,3,1216092203
131152,872423442,609,22,1,1216092201
131208,872423701,609,16,4,1216091604
131216,872423699,609,23,4,1216092304
131272,872423831,609,16,3,1216091603
131280,872424085,609,16,1,1216091601
131336,872424341,609,17,5,1216091705
131344,872424470,609,17,4,1216091704
131400,872423189,609,15,3,1216091503
131408,872423061,609,15,5,1216091505
131464,872423320,609,15,2,1216091502
131472,872423573,609,15,1,1216091501
131528,872423703,609,16,5,1216091605
131592,872423962,609,9,2,1216090902
131600,872423961,609,16,2,1216091602
131656,872423066,609,8,5,1216090805
131664,872423064,609,15,4,1216091504
131720,872423322,609,8,3,1216090803
131784,872423452,609,8,1,1216090801
131792,872423706,609,9,4,1216090904
131848,872423708,609,9,5,1216090905
131856,872423836,609,9,3,1216090903
131912,872422686,608,28,2,1216082802
131920,872422938,608,28,1,1216082801
131976,872423069,609,8,4,1216090804
132040,872423199,609,4,3,1216090403
132048,872423325,609,8,2,1216090802
132104,872423456,609,4,1,1216090401
132168,872422687,609,33,3,1216093303
132232,872422817,609,33,1,1216093301
132296,872423071,609,4,5,1216090405
132360,872423075,609,4,4,1216090404
132488,872422436,609,32,4,1216093204
132496,872422434,609,33,4,1216093304
132504,872422690,609,33,2,1216093302
132616,872422820,609,32,2,1216093202
132744,872422437,609,32,5,1216093205
132872,872422566,609,32,3,1216093203
132880,872422697,609,21,1,1216092101
132888,872422823,609,32,1,1216093201
139336,872424473,609,17,2,1216091702
139344,872424602,609,10,2,1216091002
139400,872424986,609,11,5,1216091105
139408,872424732,609,10,1,1216091001
139464,872425244,609,11,2,1216091102
139472,872424990,609,11,4,1216091104
139528,872425375,609,7,2,1216090702
139536,872425121,609,7,3,1216090703
139592,872424474,609,10,4,1216091004
139600,872424346,609,10,5,1216091005
139656,872424604,609,10,3,1216091003
139720,872424991,609,7,5,1216090705
139728,872424735,609,6,1,1216090601
139784,872424994,609,7,4,1216090704
139848,872423839,609,5,3,1216090503
139856,872424093,609,9,1,1216090901
139912,872424351,609,6,4,1216090604
139920,872424096,609,5,1,1216090501
139976,872424481,609,6,3,1216090603
139984,872424353,609,6,5,1216090605
140040,872424484,601,25,3,1216012503
140048,872424737,609,6,2,1216090602
140104,872423711,609,5,5,1216090505
140112,872423840,609,5,4,1216090504
140168,872423843,609,5,2,1216090502
140232,872423972,609,3,2,1216090302
140296,872424356,601,25,5,1216012505
140304,872424102,609,3,1,1216090301
140360,872423204,609,2,3,1216090203
140368,872423331,609,4,2,1216090402
140424,872423716,609,3,5,1216090305
140432,872423461,609,2,1,1216090201
140488,872423719,609,3,4,1216090304
140552,872423848,609,3,3,1216090303
140680,872423206,609,2,4,1216090204
140688,872423076,609,2,5,1216090205
140808,872423338,609,1,2,1216090102
140816,872423336,609,2,2,1216090202
140936,872422825,609,14,1,1216091401
141064,872423209,609,1,3,1216090103
141072,872423081,609,1,5,1216090105
147528,872425632,601,31,5,1216013105
147536,872425378,609,7,1,1216090701
147592,872425764,601,27,3,1216012703
