#stripid,cmsswid,FED,CCU,VFE
622792,872441307,648,19,1
622800,872441054,648,19,2
622808,872440798,648,19,4
622856,872440415,648,18,2
622920,872441557,647,1,3
622928,872441430,648,23,4
622936,872441815,648,23,2
622944,872441686,648,23,3
622984,872441432,648,23,5
622992,872441178,648,22,1
623000,872441048,648,22,2
623048,872440925,648,19,3
623056,872440793,648,22,4
623064,872440795,648,19,5
623112,872440540,648,18,1
623120,872440411,648,18,3
623128,872440155,648,18,4
623176,872441427,647,1,5
623184,872441171,648,26,1
623240,872440918,648,22,3
623248,872441043,648,26,3
623256,872440788,648,26,4
623304,872440790,648,22,5
623312,872440662,648,21,1
623320,872440407,648,21,2
623368,872440282,648,21,3
623376,872440152,648,21,5
623432,872441041,648,26,2
623440,872440912,648,29,3
623496,872440785,648,26,5
623504,872440530,648,25,1
623560,872440405,648,25,2
623568,872440276,648,25,3
623576,872440147,648,25,5
623624,872440150,648,21,4
623632,872439894,648,20,1
623640,872439765,648,24,2
630856,872439777,648,30,1
630920,872439520,648,30,2
630928,872439392,648,5,1
630984,872439264,648,5,2
630992,872439012,648,5,3
631000,872438882,648,5,5
631048,872438627,648,1,1
631056,872438372,648,1,3
631064,872438242,648,1,5
631112,872440156,648,18,5
631120,872439902,648,17,1
631128,872439773,648,17,3
631176,872439517,648,17,5
631184,872439262,648,6,1
631240,872438880,648,5,4
631248,872438878,648,6,4
631256,872438622,648,2,1
631304,872438497,648,1,2
631312,872438240,648,1,4
631320,872438239,648,2,4
631368,872439771,648,17,2
631376,872439770,648,20,2
631384,872439513,648,20,4
631432,872439515,648,17,4
631440,872439259,648,6,2
631448,872439129,648,7,2
631496,872439005,648,6,3
631504,872438873,648,7,4
631512,872438875,648,6,5
631520,872438619,648,2,2
631560,872438234,648,3,2
631568,872438364,648,2,3
631576,872438235,648,2,5
631624,872439640,648,20,3
631632,872439510,648,20,5
631688,872439255,648,7,1
631696,872438998,648,7,3
631752,872438870,648,7,5
631760,872438615,648,3,1
631816,872438487,648,3,3
631824,872438232,648,3,4
639048,872437987,649,1,5
639056,872437732,649,1,3
639064,872437602,649,1,1
639112,872437347,649,5,5
639120,872437217,649,5,3
639128,872437088,649,5,2
639176,872436960,649,5,1
639184,872436576,649,30,2
639240,872436320,649,30,1
639304,872437857,649,1,4
639312,872437854,649,2,4
639320,872437600,649,1,2
639368,872437597,649,2,1
639376,872437216,649,5,4
639384,872437215,649,6,4
639432,872436957,649,6,1
639440,872436702,649,17,5
639496,872436446,649,17,3
639504,872436317,649,17,1
639512,872436063,649,18,5
639560,872437981,649,2,5
639568,872437594,649,3,2
639576,872437851,649,2,3
639624,872437595,649,2,2
639632,872437340,649,6,5
639640,872437210,649,7,4
639648,872437211,649,6,3
639688,872436953,649,7,2
639696,872436955,649,6,2
639704,872436699,649,17,4
639752,872436570,649,20,4
639760,872436315,649,17,2
639768,872436313,649,20,2
639816,872437975,649,3,4
639824,872437720,649,3,3
639880,872437590,649,3,1
639888,872437335,649,7,5
639944,872437080,649,7,3
639952,872436950,649,7,1
640008,872436695,649,20,5
640016,872436439,649,20,3
647240,872435678,649,18,2
647304,872435295,649,19,4
647312,872435165,649,19,2
647320,872435035,649,19,1
647368,872434652,649,30,4
647432,872434395,649,30,3
647440,872434392,649,23,1
647496,872435675,649,18,1
647504,872436059,649,18,4
647512,872435805,649,18,3
647560,872435420,649,19,5
647568,872435290,649,22,4
647576,872435163,649,19,3
647624,872435160,649,22,2
647632,872435031,649,22,1
647640,872434777,649,23,5
647688,872434774,649,23,4
647696,872434516,650,1,3
647704,872434521,649,23,3
647712,872434390,649,23,2
647752,872436057,649,21,5
647760,872435802,649,21,3
647816,872435798,649,21,2
647824,872435670,649,21,1
647832,872435415,649,22,5
647880,872435411,649,26,4
647888,872435030,649,22,3
647896,872435156,649,26,3
647944,872435026,649,26,1
647952,872434771,650,1,5
648008,872436308,649,24,2
648016,872436310,649,20,1
648024,872435926,649,21,4
648072,872436052,649,25,5
648080,872435923,649,25,3
648088,872435669,649,25,2
648136,872435665,649,25,1
648144,872435409,649,26,5
648200,872435024,649,29,3
648208,872435025,649,26,2
655432,872433750,650,3,1
655496,872433491,650,3,3
655560,872432847,650,25,2
655568,872433102,650,6,1
655624,872432844,650,25,1
655688,872433749,650,2,2
655696,872434386,650,1,1
655704,872434006,650,3,2
655712,872434257,650,2,5
655720,872434129,650,2,4
655752,872433489,650,3,4
655760,872433745,650,2,1
655768,872433744,650,5,3
655776,872433874,650,2,3
655816,872433230,650,6,3
655824,872433484,650,6,4
655832,872433612,650,6,5
655840,872433741,650,5,1
655880,872433100,650,6,2
655888,872433098,650,10,2
655896,872433353,650,10,3
655944,872434643,650,1,4
655952,872434511,650,4,3
655960,872434385,650,1,2
656008,872433998,650,5,4
656016,872434252,650,5,5
656024,872434381,650,4,1
656072,872433740,650,5,2
656080,872433739,650,9,3
656136,872433481,650,10,5
656144,872433735,650,9,1
