#stripid,cmsswid,FED,TT,VFE
320424,838871086,612,14,5
320456,838869043,612,15,1
320464,838869555,612,15,2
320472,838870067,612,15,3
320480,838870579,612,15,4
320488,838871091,612,15,5
320520,838869048,612,16,1
320528,838869560,612,16,2
320536,838870072,612,16,3
320544,838870584,612,16,4
320552,838871096,612,16,5
320584,838871593,612,17,1
320592,838872105,612,17,2
320600,838872617,612,17,3
320608,838873129,612,17,4
320616,838873641,612,17,5
320648,838871598,612,18,1
320656,838872110,612,18,2
320664,838872622,612,18,3
320672,838873134,612,18,4
320680,838873646,612,18,5
320712,838871603,612,19,1
320720,838872115,612,19,2
320728,838872627,612,19,3
320736,838873139,612,19,4
320744,838873651,612,19,5
320776,838871608,612,20,1
320784,838872120,612,20,2
320792,838872632,612,20,3
320800,838873144,612,20,4
320808,838873656,612,20,5
320840,838876201,612,21,1
320848,838875689,612,21,2
320856,838875177,612,21,3
320864,838874665,612,21,4
320872,838874153,612,21,5
320904,838876206,612,22,1
320912,838875694,612,22,2
320920,838875182,612,22,3
320928,838874670,612,22,4
320936,838874158,612,22,5
320968,838876211,612,23,1
320976,838875699,612,23,2
320984,838875187,612,23,3
320992,838874675,612,23,4
321000,838874163,612,23,5
321032,838876216,612,24,1
321040,838875704,612,24,2
321048,838875192,612,24,3
321056,838874680,612,24,4
321064,838874168,612,24,5
321096,838878761,612,25,1
321104,838878249,612,25,2
321112,838877737,612,25,3
321120,838877225,612,25,4
321128,838876713,612,25,5
321160,838878766,612,26,1
321168,838878254,612,26,2
321176,838877742,612,26,3
321184,838877230,612,26,4
321192,838876718,612,26,5
321224,838878771,612,27,1
321232,838878259,612,27,2
321240,838877747,612,27,3
321248,838877235,612,27,4
321256,838876723,612,27,5
321288,838878776,612,28,1
321296,838878264,612,28,2
321304,838877752,612,28,3
321312,838877240,612,28,4
321320,838876728,612,28,5
321352,838879273,612,29,1
321360,838879785,612,29,2
321368,838880297,612,29,3
321376,838880809,612,29,4
321384,838881321,612,29,5
321416,838879278,612,30,1
321424,838879790,612,30,2
321432,838880302,612,30,3
321440,838880814,612,30,4
321448,838881326,612,30,5
321480,838879283,612,31,1
321488,838879795,612,31,2
321496,838880307,612,31,3
321504,838880819,612,31,4
321512,838881331,612,31,5
321544,838879288,612,32,1
321552,838879800,612,32,2
321560,838880312,612,32,3
321568,838880824,612,32,4
321576,838881336,612,32,5
321608,838881833,612,33,1
321616,838882345,612,33,2
321624,838882857,612,33,3
321632,838883369,612,33,4
321640,838883881,612,33,5
321672,838881838,612,34,1
321680,838882350,612,34,2
321688,838882862,612,34,3
321696,838883374,612,34,4
321704,838883886,612,34,5
321736,838881843,612,35,1
321744,838882355,612,35,2
321752,838882867,612,35,3
321760,838883379,612,35,4
321768,838883891,612,35,5
321800,838881848,612,36,1
321808,838882360,612,36,2
321816,838882872,612,36,3
321824,838883384,612,36,4
321832,838883896,612,36,5
321864,838886441,612,37,1
321872,838885929,612,37,2
321880,838885417,612,37,3
321888,838884905,612,37,4
321896,838884393,612,37,5
321928,838886446,612,38,1
321936,838885934,612,38,2
321944,838885422,612,38,3
321952,838884910,612,38,4
321960,838884398,612,38,5
321992,838886451,612,39,1
322000,838885939,612,39,2
322008,838885427,612,39,3
322016,838884915,612,39,4
322024,838884403,612,39,5
322056,838886456,612,40,1
322064,838885944,612,40,2
322072,838885432,612,40,3
322080,838884920,612,40,4
322088,838884408,612,40,5
322120,838889001,612,41,1
322128,838888489,612,41,2
322136,838887977,612,41,3
322144,838887465,612,41,4
322152,838886953,612,41,5
322184,838889006,612,42,1
322192,838888494,612,42,2
322200,838887982,612,42,3
322208,838887470,612,42,4
322216,838886958,612,42,5
322248,838889011,612,43,1
322256,838888499,612,43,2
322264,838887987,612,43,3
322272,838887475,612,43,4
322280,838886963,612,43,5
322312,838889016,612,44,1
322320,838888504,612,44,2
322328,838887992,612,44,3
322336,838887480,612,44,4
322344,838886968,612,44,5
322376,838889513,612,45,1
322384,838890025,612,45,2
322392,838890537,612,45,3
322400,838891049,612,45,4
322408,838891561,612,45,5
322440,838889518,612,46,1
322448,838890030,612,46,2
322456,838890542,612,46,3
322464,838891054,612,46,4
322472,838891566,612,46,5
322504,838889523,612,47,1
322512,838890035,612,47,2
322520,838890547,612,47,3
322528,838891059,612,47,4
322536,838891571,612,47,5
322568,838889528,612,48,1
322576,838890040,612,48,2
322584,838890552,612,48,3
322592,838891064,612,48,4
322600,838891576,612,48,5
322632,838892073,612,49,1
322640,838892585,612,49,2
322648,838893097,612,49,3
322656,838893609,612,49,4
322664,838894121,612,49,5
322696,838892078,612,50,1
322704,838892590,612,50,2
322712,838893102,612,50,3
322720,838893614,612,50,4
322728,838894126,612,50,5
322760,838892083,612,51,1
322768,838892595,612,51,2
322776,838893107,612,51,3
322784,838893619,612,51,4
322792,838894131,612,51,5
322824,838892088,612,52,1
322832,838892600,612,52,2
322840,838893112,612,52,3
322848,838893624,612,52,4
322856,838894136,612,52,5
322888,838896681,612,53,1
322896,838896169,612,53,2
322904,838895657,612,53,3
322912,838895145,612,53,4
322920,838894633,612,53,5
322952,838896686,612,54,1
322960,838896174,612,54,2
322968,838895662,612,54,3
322976,838895150,612,54,4
322984,838894638,612,54,5
323016,838896691,612,55,1
323024,838896179,612,55,2
323032,838895667,612,55,3
323040,838895155,612,55,4
323048,838894643,612,55,5
323080,838896696,612,56,1
323088,838896184,612,56,2
323096,838895672,612,56,3
323104,838895160,612,56,4
323112,838894648,612,56,5
323144,838899241,612,57,1
323152,838898729,612,57,2
323160,838898217,612,57,3
323168,838897705,612,57,4
323176,838897193,612,57,5
323208,838899246,612,58,1
323216,838898734,612,58,2
323224,838898222,612,58,3
323232,838897710,612,58,4
323240,838897198,612,58,5
323272,838899251,612,59,1
323280,838898739,612,59,2
323288,838898227,612,59,3
323296,838897715,612,59,4
323304,838897203,612,59,5
323336,838899256,612,60,1
323344,838898744,612,60,2
323352,838898232,612,60,3
323360,838897720,612,60,4
323368,838897208,612,60,5
323400,838899753,612,61,1
323408,838900265,612,61,2
323416,838900777,612,61,3
323424,838901289,612,61,4
323432,838901801,612,61,5
323464,838899758,612,62,1
323472,838900270,612,62,2
323480,838900782,612,62,3
323488,838901294,612,62,4
323496,838901806,612,62,5
323528,838899763,612,63,1
323536,838900275,612,63,2
323544,838900787,612,63,3
323552,838901299,612,63,4
323560,838901811,612,63,5
323592,838899768,612,64,1
323600,838900280,612,64,2
323608,838900792,612,64,3
323616,838901304,612,64,4
323624,838901816,612,64,5
323656,838902313,612,65,1
323664,838902825,612,65,2
323672,838903337,612,65,3
323680,838903849,612,65,4
